Survived,Age,SibSp,Parch,Fare,Sex_female,Sex_male,HasCabin_No,HasCabin_Yes,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,NameLen,Embarked_C,Embarked_Q,Embarked_S,FamilySize,FamilyClass_LargeFamily,FamilyClass_MediumFamily,FamilyClass_Single,FamilyClass_SmallFamily,FareReal,UseGT,UseGT_0,UseGT_1,Pclass_1,Pclass_2,Pclass_3,AgeLevel_Children,AgeLevel_Middle,AgeLevel_Old,AgeLevel_Teenager,AgeLevel_Youth,Mother_No,Mother_Yes,D_Female_Family,S_Male_Family
0,-0.5625109226365484,1,0,-0.516247032659192,0,1,1,0,0,0,1,0,0,0,-0.26806252752800463,0,0,1,0.059159876663617626,0,0,0,1,-0.5126930506721376,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,0.6046304412687123,1,0,0.7728578958364248,1,0,0,1,0,0,0,1,0,0,2.7203573534699537,1,0,0,0.059159876663617626,0,0,0,1,2.4359372952476055,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1,-0.2707255816602333,0,0,-0.5026580746211939,1,0,1,0,0,1,0,0,0,0,-0.9576978846813795,0,0,1,-0.5609748304808925,0,0,1,0,-0.48161038769059783,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,0.38579143553647594,1,0,0.4067955244403802,1,0,0,1,0,0,0,1,0,0,1.80084354393212,0,0,1,0.059159876663617626,0,0,0,1,0.3760408686518868,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
0,0.38579143553647594,0,0,-0.5001416009104536,0,1,1,0,0,0,1,0,0,0,-0.03818407514354631,0,0,1,-0.5609748304808925,0,0,1,0,-0.47585433899031265,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.24595161675733912,0,0,-0.4919217911816912,0,1,1,0,0,0,1,0,0,0,-0.9576978846813795,0,1,0,-0.5609748304808925,0,0,1,0,-0.4570527815157014,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1.7717718051739733,0,0,0.3818824347040503,0,1,0,1,0,0,1,0,0,0,-0.4979409799124629,0,0,1,-0.5609748304808925,0,0,1,0,1.5416407304596258,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,-2.0214376275181247,3,1,-0.23792504025130579,0,1,1,0,1,0,0,0,0,0,-0.03818407514354631,0,0,1,1.9195639980971482,0,1,0,0,-0.6039264225716569,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0
1,-0.1977792464161545,0,2,-0.4380692537718471,1,0,1,0,0,0,0,1,0,0,2.490478901085495,0,0,1,0.6792945838081278,0,0,0,1,-0.67565369663565,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
1,-1.1460816045891788,1,0,-0.056823486594679146,1,0,1,0,0,0,0,1,0,0,0.996268960586516,1,0,0,0.059159876663617626,0,0,0,1,-0.15418791826253866,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
1,-1.875544957029967,1,1,-0.32600162012721917,1,0,0,1,0,1,0,0,0,0,0.07675515104868284,0,0,1,0.6792945838081278,0,0,0,1,-0.4620398221096284,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0
1,2.0635571461502886,0,0,-0.127703491720877,1,0,0,1,0,1,0,0,0,0,-0.4979409799124629,0,0,1,-0.5609748304808925,0,0,1,0,0.3760408686518868,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,-0.7084035931247061,0,0,-0.5001416009104536,0,1,1,0,0,0,1,0,0,0,-0.03818407514354631,0,0,1,-0.5609748304808925,0,0,1,0,-0.47585433899031265,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0.6775767765127911,1,5,-0.0325807854548906,0,1,1,0,0,0,1,0,0,0,-0.15312330133577545,0,0,1,3.1598334123861687,1,0,0,0,-0.6408062488870553,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0
0,-1.1460816045891788,0,0,-0.5040834053309574,1,0,1,0,0,1,0,0,0,0,0.8813297343942869,0,0,1,-0.5609748304808925,0,0,1,0,-0.4848706136744394,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1,1.844718140418052,0,0,-0.3400938729073653,1,0,1,0,0,0,0,1,0,0,0.4215728296253703,0,0,1,-0.5609748304808925,0,0,1,0,-0.10976964165217833,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,-2.0214376275181247,4,1,-0.07586413327962514,0,1,1,0,1,0,0,0,0,0,-0.8427586584891503,0,1,0,2.5396987052416584,0,1,0,0,-0.5783120058553881,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0
1,0.27129000464835334,0,0,-0.40048924196513447,0,1,1,0,0,0,1,0,0,0,0.07675515104868284,0,0,1,-0.5609748304808925,0,0,1,0,-0.2479148104590215,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0.09400609456016072,1,0,-0.29983029353551915,1,0,1,0,0,0,0,1,0,0,2.490478901085495,0,0,1,0.059159876663617626,0,0,0,1,-0.017672862447616226,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
1,-0.6818129171107338,0,0,-0.5167503274013401,1,0,1,0,0,0,0,1,0,0,-0.8427586584891503,1,0,0,-0.5609748304808925,0,0,1,0,-0.5138442604121946,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0.38579143553647594,0,0,-0.1387759760481347,0,1,1,0,0,0,1,0,0,0,-0.6128802061046921,0,0,1,-0.5609748304808925,0,0,1,0,-0.2479148104590215,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
